,NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ST_CONCLUSAO,TP_ESCOLA,NO_MUNICIPIO_ESC,TP_DEPENDENCIA_ADM_ESC,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
10495,160000428122,2016,Altos,PI,23.0,M,1,1,,,Altos,652.9,707.7,600.2,693.5,860.0
11777,160000408490,2016,Altos,PI,19.0,M,1,1,,,Altos,,,,,
25027,160000432464,2016,Altos,PI,21.0,F,2,2,Altos,2.0,Altos,465.0,573.7,528.3,366.0,460.0
25238,160000445976,2016,Altos,PI,18.0,F,1,1,,,Altos,475.6,573.6,525.9,371.1,580.0
27920,160000396667,2016,Altos,PI,18.0,M,1,1,,,Altos,598.6,534.8,487.7,587.7,400.0
34243,160000263189,2016,Altos,PI,20.0,M,1,1,,,Altos,467.2,560.7,589.4,434.6,500.0
48797,160000375484,2016,Altos,PI,21.0,F,1,1,,,Teresina,455.9,517.8,498.6,406.7,560.0
54393,160008598528,2016,Altos,PI,26.0,M,1,1,,,Altos,477.5,498.9,355.3,481.3,480.0
70424,160000365112,2016,Altos,PI,24.0,M,1,1,,,Altos,403.3,414.6,480.7,490.4,420.0
76830,160000392779,2016,Altos,PI,28.0,M,1,1,,,Altos,414.4,423.6,,,
76831,160000392780,2016,Altos,PI,18.0,F,1,1,,,Altos,486.3,572.2,521.6,349.0,520.0
77377,160008607697,2016,Altos,PI,18.0,F,1,1,,,Altos,607.9,570.4,465.9,511.4,580.0
78125,160000356244,2016,Altos,PI,18.0,M,1,1,,,Altos,485.4,580.0,586.5,616.7,640.0
86472,160000574369,2016,Altos,PI,26.0,F,1,1,,,Altos,529.7,528.8,548.6,397.3,540.0
89405,160000543532,2016,Altos,PI,18.0,M,1,1,,,Altos,475.2,536.4,525.6,389.4,380.0
91023,160000579964,2016,Altos,PI,18.0,F,1,1,,,Altos,482.0,470.4,476.9,490.5,500.0
92594,160000574799,2016,Altos,PI,37.0,M,1,1,,,Altos,440.5,576.3,494.2,568.6,600.0
96383,160000569835,2016,Altos,PI,58.0,F,1,1,,,Altos,422.7,472.7,527.9,523.9,0.0
123616,160000515451,2016,Altos,PI,24.0,F,1,1,,,Altos,,,,,
123969,160000528700,2016,Altos,PI,24.0,F,1,1,,,Altos,441.0,451.1,528.6,369.3,360.0
127478,160000505214,2016,Altos,PI,20.0,F,1,1,,,Altos,448.3,541.4,503.3,402.7,440.0
137843,160000536399,2016,Altos,PI,18.0,M,1,1,,,Altos,,,,,
143039,160000819316,2016,Altos,PI,25.0,M,1,1,,,Altos,470.5,562.2,,,
171976,160000856263,2016,Altos,PI,18.0,F,1,1,,,Altos,487.4,578.5,553.6,539.7,600.0
185913,160001128608,2016,Altos,PI,22.0,M,1,1,,,Altos,509.5,533.9,514.0,415.8,360.0
186288,160001122994,2016,Altos,PI,44.0,M,1,1,,,Altos,485.0,602.6,510.3,626.4,600.0
192317,160001110316,2016,Altos,PI,19.0,F,1,1,,,Altos,415.9,529.5,472.0,406.2,540.0
193545,160001124913,2016,Altos,PI,20.0,F,1,1,,,Altos,400.4,499.7,538.4,485.9,420.0
193607,160001103484,2016,Altos,PI,26.0,F,1,1,,,Altos,,,,,
201396,160000923798,2016,Altos,PI,18.0,M,1,1,,,Altos,406.3,474.6,413.3,479.0,560.0
205720,160000931049,2016,Altos,PI,18.0,F,1,1,,,Altos,453.9,555.6,507.6,380.8,580.0
229840,160000904397,2016,Altos,PI,18.0,M,1,1,,,Altos,625.2,594.8,632.6,640.2,740.0
233499,160001469032,2016,Altos,PI,22.0,F,1,1,,,Altos,472.0,530.9,421.5,400.1,540.0
239830,160000926135,2016,Altos,PI,24.0,F,1,1,,,Altos,522.7,582.8,533.0,444.8,600.0
247308,160001134318,2016,Altos,PI,20.0,M,1,1,,,Altos,422.4,446.0,430.9,471.7,380.0
260735,160001148857,2016,Altos,PI,22.0,M,1,1,,,Altos,593.0,602.4,544.0,526.9,760.0
270029,160000125925,2016,Altos,PI,25.0,M,1,1,,,Altos,,,,,
